p,algo,modelo_desc,tasa_pesada
2,rlog,adulto ~ anillos + long.largo,0.8012927938711994
2,rlog,adulto ~ anillos + peso.caparazon,0.8015322001436438
2,rlog,adulto ~ anillos + peso.desenvainado,0.8056021067751975
2,rlog,adulto ~ anillos + peso.total,0.808714388316974
2,rlog,adulto ~ anillos + peso.viscera,0.8132631074934163
2,rlog,adulto ~ long.altura + peso.caparazon,0.7986593248743117
2,rlog,adulto ~ long.altura + peso.desenvainado,0.7929135743356476
2,rlog,adulto ~ long.altura + peso.total,0.796025855877424
2,rlog,adulto ~ long.altura + peso.viscera,0.8008139813263108
2,rlog,adulto ~ long.diametro + long.altura,0.7931529806080919
2,rlog,adulto ~ long.diametro + peso.caparazon,0.7957864496049797
2,rlog,adulto ~ long.diametro + peso.desenvainado,0.7809432607134307
2,rlog,adulto ~ long.diametro + peso.total,0.7972228872396456
2,rlog,adulto ~ long.diametro + peso.viscera,0.8008139813263108
2,rlog,adulto ~ long.largo + long.altura,0.793871199425425
2,rlog,adulto ~ long.largo + long.diametro,0.7878860426143165
2,rlog,adulto ~ long.largo + peso.caparazon,0.796025855877424
2,rlog,adulto ~ long.largo + peso.desenvainado,0.7785491979889874
2,rlog,adulto ~ long.largo + peso.total,0.8017716064160881
2,rlog,adulto ~ long.largo + peso.viscera,0.8051232942303088
2,rlog,adulto ~ peso.desenvainado + peso.caparazon,0.79746229351209
2,rlog,adulto ~ peso.desenvainado + peso.viscera,0.8022504189609768
2,rlog,adulto ~ peso.total + peso.caparazon,0.8003351687814221
2,rlog,adulto ~ peso.total + peso.desenvainado,0.8010533875987551
2,rlog,adulto ~ peso.total + peso.viscera,0.7977016997845343
2,rlog,adulto ~ peso.viscera + peso.caparazon,0.8008139813263108
3,adc,adulto ~ anillos + long.altura + peso.caparazon,0.7900406990663156
3,adc,adulto ~ anillos + long.altura + peso.desenvainado,0.799616949964089
3,adc,adulto ~ anillos + long.altura + peso.total,0.8020110126885325
3,adc,adulto ~ anillos + long.altura + peso.viscera,0.7993775436916447
3,adc,adulto ~ anillos + long.diametro + long.altura,0.8003351687814221
3,adc,adulto ~ anillos + long.diametro + peso.caparazon,0.8005745750538664
3,adc,adulto ~ anillos + long.diametro + peso.desenvainado,0.8027292315058655
3,adc,adulto ~ anillos + long.diametro + peso.total,0.8101508259516399
3,adc,adulto ~ anillos + long.diametro + peso.viscera,0.8034474503231984
3,adc,adulto ~ anillos + long.largo + long.altura,0.7972228872396456
3,adc,adulto ~ anillos + long.largo + long.diametro,0.8053627005027532
3,adc,adulto ~ anillos + long.largo + peso.caparazon,0.798180512329423
3,adc,adulto ~ anillos + long.largo + peso.desenvainado,0.8029686377783098
3,adc,adulto ~ anillos + long.largo + peso.total,0.812305482403639
3,adc,adulto ~ anillos + long.largo + peso.viscera,0.8041656691405314
3,adc,adulto ~ anillos + peso.desenvainado + peso.caparazon,0.7948288245152023
3,adc,adulto ~ anillos + peso.desenvainado + peso.viscera,0.7991381374192004
3,adc,adulto ~ anillos + peso.total + peso.caparazon,0.8032080440507541
3,adc,adulto ~ anillos + peso.total + peso.desenvainado,0.7998563562365334
3,adc,adulto ~ anillos + peso.total + peso.viscera,0.7991381374192004
3,adc,adulto ~ anillos + peso.viscera + peso.caparazon,0.79746229351209
3,adc,adulto ~ long.altura + peso.desenvainado + peso.caparazon,0.7749581039023222
3,adc,adulto ~ long.altura + peso.desenvainado + peso.viscera,0.7854919798898731
3,adc,adulto ~ long.altura + peso.total + peso.caparazon,0.7778309791716543
3,adc,adulto ~ long.altura + peso.total + peso.desenvainado,0.7816614795307637
3,adc,adulto ~ long.altura + peso.total + peso.viscera,0.7766339478094326
3,adc,adulto ~ long.altura + peso.viscera + peso.caparazon,0.7718458223605459
3,adc,adulto ~ long.diametro + long.altura + peso.caparazon,0.7687335408187694
3,adc,adulto ~ long.diametro + long.altura + peso.desenvainado,0.7751975101747666
3,adc,adulto ~ long.diametro + long.altura + peso.total,0.7792674168063203
